"SecretarialAreaCode","SecretarialAreaTitle","AgencyCode","AgencyTitle","bill","year","type","amount"
"03","Education","942","Virginia Museum of Natural History","1","2024","NGF",563906
"03","Education","942","Virginia Museum of Natural History","1","2024","Total",3773967
"03","Education","948","Southwest Virginia Higher Education Center","1283","2019","GF",2100046
"03","Education","948","Southwest Virginia Higher Education Center","1283","2019","NGF",7537183
"03","Education","948","Southwest Virginia Higher Education Center","1283","2019","Total",9637229
"03","Education","948","Southwest Virginia Higher Education Center","1283","2020","GF",2100046
"03","Education","948","Southwest Virginia Higher Education Center","1283","2020","NGF",7537183
"03","Education","948","Southwest Virginia Higher Education Center","1283","2020","Total",9637229
"03","Education","948","Southwest Virginia Higher Education Center","1","2021","GF",2171000
"03","Education","948","Southwest Virginia Higher Education Center","1","2021","NGF",1215650
"03","Education","948","Southwest Virginia Higher Education Center","1","2021","Total",3386650
"03","Education","948","Southwest Virginia Higher Education Center","1","2022","GF",3266000
"03","Education","948","Southwest Virginia Higher Education Center","1","2022","NGF",1215650
"03","Education","948","Southwest Virginia Higher Education Center","1","2022","Total",4481650
"03","Education","948","Southwest Virginia Higher Education Center","1","2023","GF",4032768
"03","Education","948","Southwest Virginia Higher Education Center","1","2023","NGF",1247745
"03","Education","948","Southwest Virginia Higher Education Center","1","2023","Total",5280513
"03","Education","948","Southwest Virginia Higher Education Center","1","2024","GF",4032768
"03","Education","948","Southwest Virginia Higher Education Center","1","2024","NGF",1247745
"03","Education","948","Southwest Virginia Higher Education Center","1","2024","Total",5280513
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2019","GF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2019","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2019","Total",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2020","GF",52459000
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2020","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1283","2020","Total",52459000
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2021","GF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2021","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2021","Total",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2022","GF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2022","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2022","Total",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2023","GF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2023","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2023","Total",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2024","GF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2024","NGF",0
"03","Education","980","In-State Undergraduate Tuition Moderation","1","2024","Total",0
"03","Education","984","Maintain Affordable Access","1283","2019","GF",0
"03","Education","984","Maintain Affordable Access","1283","2019","NGF",0
"03","Education","984","Maintain Affordable Access","1283","2019","Total",0
"03","Education","984","Maintain Affordable Access","1283","2020","GF",0
"03","Education","984","Maintain Affordable Access","1283","2020","NGF",0
"03","Education","984","Maintain Affordable Access","1283","2020","Total",0
"03","Education","984","Maintain Affordable Access","1","2021","GF",6e+07
"03","Education","984","Maintain Affordable Access","1","2021","NGF",0
"03","Education","984","Maintain Affordable Access","1","2021","Total",6e+07
"03","Education","984","Maintain Affordable Access","1","2022","GF",113500000
"03","Education","984","Maintain Affordable Access","1","2022","NGF",0
"03","Education","984","Maintain Affordable Access","1","2022","Total",113500000
"03","Education","984","Maintain Affordable Access","1","2023","GF",0
"03","Education","984","Maintain Affordable Access","1","2023","NGF",0
"03","Education","984","Maintain Affordable Access","1","2023","Total",0
"03","Education","984","Maintain Affordable Access","1","2024","GF",143250000
"03","Education","984","Maintain Affordable Access","1","2024","NGF",0
"03","Education","984","Maintain Affordable Access","1","2024","Total",143250000
"03","Education","989","Higher Education Research Initiative","1283","2019","GF",8e+06
"03","Education","989","Higher Education Research Initiative","1283","2019","NGF",0
"03","Education","989","Higher Education Research Initiative","1283","2019","Total",8e+06
"03","Education","989","Higher Education Research Initiative","1283","2020","GF",2.8e+07
"03","Education","989","Higher Education Research Initiative","1283","2020","NGF",0
"03","Education","989","Higher Education Research Initiative","1283","2020","Total",2.8e+07
"03","Education","989","Higher Education Research Initiative","1","2021","GF",0
"03","Education","989","Higher Education Research Initiative","1","2021","NGF",0
"03","Education","989","Higher Education Research Initiative","1","2021","Total",0
"03","Education","989","Higher Education Research Initiative","1","2022","GF",0
"03","Education","989","Higher Education Research Initiative","1","2022","NGF",0
"03","Education","989","Higher Education Research Initiative","1","2022","Total",0
"03","Education","989","Higher Education Research Initiative","1","2023","GF",0
"03","Education","989","Higher Education Research Initiative","1","2023","NGF",0
"03","Education","989","Higher Education Research Initiative","1","2023","Total",0
"03","Education","989","Higher Education Research Initiative","1","2024","GF",0
"03","Education","989","Higher Education Research Initiative","1","2024","NGF",0
"03","Education","989","Higher Education Research Initiative","1","2024","Total",0
"04","Executive Offices","119","Lieutenant Governor","1283","2019","GF",378564
"04","Executive Offices","119","Lieutenant Governor","1283","2019","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1283","2019","Total",378564
"04","Executive Offices","119","Lieutenant Governor","1283","2020","GF",378564
"04","Executive Offices","119","Lieutenant Governor","1283","2020","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1283","2020","Total",378564
"04","Executive Offices","119","Lieutenant Governor","1","2021","GF",389229
"04","Executive Offices","119","Lieutenant Governor","1","2021","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1","2021","Total",389229
"04","Executive Offices","119","Lieutenant Governor","1","2022","GF",389229
"04","Executive Offices","119","Lieutenant Governor","1","2022","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1","2022","Total",389229
"04","Executive Offices","119","Lieutenant Governor","1","2023","GF",408926
"04","Executive Offices","119","Lieutenant Governor","1","2023","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1","2023","Total",408926
"04","Executive Offices","119","Lieutenant Governor","1","2024","GF",533926
"04","Executive Offices","119","Lieutenant Governor","1","2024","NGF",0
"04","Executive Offices","119","Lieutenant Governor","1","2024","Total",533926
"04","Executive Offices","121","Office of the Governor","1283","2019","GF",5468474
"04","Executive Offices","121","Office of the Governor","1283","2019","NGF",157576
"04","Executive Offices","121","Office of the Governor","1283","2019","Total",5626050
"04","Executive Offices","121","Office of the Governor","1283","2020","GF",5468474
"04","Executive Offices","121","Office of the Governor","1283","2020","NGF",157576
"04","Executive Offices","121","Office of the Governor","1283","2020","Total",5626050
"04","Executive Offices","121","Office of the Governor","1","2021","GF",7984495
"04","Executive Offices","121","Office of the Governor","1","2021","NGF",164914
"04","Executive Offices","121","Office of the Governor","1","2021","Total",8149409
"04","Executive Offices","121","Office of the Governor","1","2022","GF",7348803
"04","Executive Offices","121","Office of the Governor","1","2022","NGF",164914
"04","Executive Offices","121","Office of the Governor","1","2022","Total",7513717
"04","Executive Offices","121","Office of the Governor","1","2023","GF",10060485
"04","Executive Offices","121","Office of the Governor","1","2023","NGF",197241
"04","Executive Offices","121","Office of the Governor","1","2023","Total",10257726
"04","Executive Offices","121","Office of the Governor","1","2024","GF",9985485
"04","Executive Offices","121","Office of the Governor","1","2024","NGF",197241
"04","Executive Offices","121","Office of the Governor","1","2024","Total",10182726
"04","Executive Offices","141","Attorney General and Department of Law","1283","2019","GF",24121382
"04","Executive Offices","141","Attorney General and Department of Law","1283","2019","NGF",29526631
"04","Executive Offices","141","Attorney General and Department of Law","1283","2019","Total",53648013
"04","Executive Offices","141","Attorney General and Department of Law","1283","2020","GF",24121382
"04","Executive Offices","141","Attorney General and Department of Law","1283","2020","NGF",28983074
"04","Executive Offices","141","Attorney General and Department of Law","1283","2020","Total",53104456
"04","Executive Offices","141","Attorney General and Department of Law","1","2021","GF",26682220
"04","Executive Offices","141","Attorney General and Department of Law","1","2021","NGF",30434906
"04","Executive Offices","141","Attorney General and Department of Law","1","2021","Total",57117126
"04","Executive Offices","141","Attorney General and Department of Law","1","2022","GF",31961525
"04","Executive Offices","141","Attorney General and Department of Law","1","2022","NGF",30434906
"04","Executive Offices","141","Attorney General and Department of Law","1","2022","Total",62396431
"04","Executive Offices","141","Attorney General and Department of Law","1","2023","GF",36800506
"04","Executive Offices","141","Attorney General and Department of Law","1","2023","NGF",31002268
"04","Executive Offices","141","Attorney General and Department of Law","1","2023","Total",67802774
"04","Executive Offices","141","Attorney General and Department of Law","1","2024","GF",38775022
"04","Executive Offices","141","Attorney General and Department of Law","1","2024","NGF",31002268
"04","Executive Offices","141","Attorney General and Department of Law","1","2024","Total",69777290
"04","Executive Offices","143","Division of Debt Collection","1283","2019","GF",0
"04","Executive Offices","143","Division of Debt Collection","1283","2019","NGF",2755447
"04","Executive Offices","143","Division of Debt Collection","1283","2019","Total",2755447
"04","Executive Offices","143","Division of Debt Collection","1283","2020","GF",0
"04","Executive Offices","143","Division of Debt Collection","1283","2020","NGF",2755447
"04","Executive Offices","143","Division of Debt Collection","1283","2020","Total",2755447
"04","Executive Offices","143","Division of Debt Collection","1","2021","GF",0
"04","Executive Offices","143","Division of Debt Collection","1","2021","NGF",3354446
"04","Executive Offices","143","Division of Debt Collection","1","2021","Total",3354446
"04","Executive Offices","143","Division of Debt Collection","1","2022","GF",0
"04","Executive Offices","143","Division of Debt Collection","1","2022","NGF",3354446
"04","Executive Offices","143","Division of Debt Collection","1","2022","Total",3354446
"04","Executive Offices","143","Division of Debt Collection","1","2023","GF",0
"04","Executive Offices","143","Division of Debt Collection","1","2023","NGF",3477852
"04","Executive Offices","143","Division of Debt Collection","1","2023","Total",3477852
"04","Executive Offices","143","Division of Debt Collection","1","2024","GF",0
"04","Executive Offices","143","Division of Debt Collection","1","2024","NGF",3477852
"04","Executive Offices","143","Division of Debt Collection","1","2024","Total",3477852
"04","Executive Offices","147","Office of the State Inspector General","1283","2019","GF",4631281
"04","Executive Offices","147","Office of the State Inspector General","1283","2019","NGF",2212752
"04","Executive Offices","147","Office of the State Inspector General","1283","2019","Total",6844033
"04","Executive Offices","147","Office of the State Inspector General","1283","2020","GF",4631281
"04","Executive Offices","147","Office of the State Inspector General","1283","2020","NGF",2212752
"04","Executive Offices","147","Office of the State Inspector General","1283","2020","Total",6844033
"04","Executive Offices","147","Office of the State Inspector General","1","2021","GF",4778140
"04","Executive Offices","147","Office of the State Inspector General","1","2021","NGF",2366236
"04","Executive Offices","147","Office of the State Inspector General","1","2021","Total",7144376
"04","Executive Offices","147","Office of the State Inspector General","1","2022","GF",4778140
"04","Executive Offices","147","Office of the State Inspector General","1","2022","NGF",2366236
"04","Executive Offices","147","Office of the State Inspector General","1","2022","Total",7144376
"04","Executive Offices","147","Office of the State Inspector General","1","2023","GF",4944696
"04","Executive Offices","147","Office of the State Inspector General","1","2023","NGF",2461729
"04","Executive Offices","147","Office of the State Inspector General","1","2023","Total",7406425
"04","Executive Offices","147","Office of the State Inspector General","1","2024","GF",5194696
"04","Executive Offices","147","Office of the State Inspector General","1","2024","NGF",2461729
"04","Executive Offices","147","Office of the State Inspector General","1","2024","Total",7656425
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2019","GF",2158598
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2019","NGF",92978
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2019","Total",2251576
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2020","GF",2158598
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2020","NGF",92978
"04","Executive Offices","166","Secretary of the Commonwealth","1283","2020","Total",2251576
"04","Executive Offices","166","Secretary of the Commonwealth","1","2021","GF",2614018
"04","Executive Offices","166","Secretary of the Commonwealth","1","2021","NGF",118337
"04","Executive Offices","166","Secretary of the Commonwealth","1","2021","Total",2732355
"04","Executive Offices","166","Secretary of the Commonwealth","1","2022","GF",2639018
"04","Executive Offices","166","Secretary of the Commonwealth","1","2022","NGF",118337
"04","Executive Offices","166","Secretary of the Commonwealth","1","2022","Total",2757355
"04","Executive Offices","166","Secretary of the Commonwealth","1","2023","GF",2710483
"04","Executive Offices","166","Secretary of the Commonwealth","1","2023","NGF",112735
"04","Executive Offices","166","Secretary of the Commonwealth","1","2023","Total",2823218
"04","Executive Offices","166","Secretary of the Commonwealth","1","2024","GF",2710483
"04","Executive Offices","166","Secretary of the Commonwealth","1","2024","NGF",112735
"04","Executive Offices","166","Secretary of the Commonwealth","1","2024","Total",2823218
"04","Executive Offices","921","Interstate Organization Contributions","1283","2019","GF",190939
"04","Executive Offices","921","Interstate Organization Contributions","1283","2019","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1283","2019","Total",190939
"04","Executive Offices","921","Interstate Organization Contributions","1283","2020","GF",190939
"04","Executive Offices","921","Interstate Organization Contributions","1283","2020","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1283","2020","Total",190939
"04","Executive Offices","921","Interstate Organization Contributions","1","2021","GF",190949
"04","Executive Offices","921","Interstate Organization Contributions","1","2021","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1","2021","Total",190949
"04","Executive Offices","921","Interstate Organization Contributions","1","2022","GF",190949
"04","Executive Offices","921","Interstate Organization Contributions","1","2022","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1","2022","Total",190949
"04","Executive Offices","921","Interstate Organization Contributions","1","2023","GF",190939
"04","Executive Offices","921","Interstate Organization Contributions","1","2023","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1","2023","Total",190939
"04","Executive Offices","921","Interstate Organization Contributions","1","2024","GF",190939
"04","Executive Offices","921","Interstate Organization Contributions","1","2024","NGF",0
"04","Executive Offices","921","Interstate Organization Contributions","1","2024","Total",190939
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2019","GF",830743
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2019","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2019","Total",830743
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2020","GF",830743
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2020","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1283","2020","Total",830743
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2021","GF",878064
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2021","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2021","Total",878064
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2022","GF",878064
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2022","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2022","Total",878064
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2023","GF",1653270
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2023","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2023","Total",1653270
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2024","GF",903270
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2024","NGF",0
"05","Health and Human Resources","188","Secretary of Health and Human Resources","1","2024","Total",903270
"05","Health and Human Resources","200","Children's Services Act","1283","2019","GF",292676916
"05","Health and Human Resources","200","Children's Services Act","1283","2019","NGF",52607746
"05","Health and Human Resources","200","Children's Services Act","1283","2019","Total",345284662
"05","Health and Human Resources","200","Children's Services Act","1283","2020","GF",309269426
"05","Health and Human Resources","200","Children's Services Act","1283","2020","NGF",52607746
"05","Health and Human Resources","200","Children's Services Act","1283","2020","Total",361877172
"05","Health and Human Resources","200","Children's Services Act","1","2021","GF",318981726
"05","Health and Human Resources","200","Children's Services Act","1","2021","NGF",52607746
"05","Health and Human Resources","200","Children's Services Act","1","2021","Total",371589472
"05","Health and Human Resources","200","Children's Services Act","1","2022","GF",329640683
"05","Health and Human Resources","200","Children's Services Act","1","2022","NGF",57632329
"05","Health and Human Resources","200","Children's Services Act","1","2022","Total",387273012
"05","Health and Human Resources","200","Children's Services Act","1","2023","GF",330699433
"05","Health and Human Resources","200","Children's Services Act","1","2023","NGF",57632329
"05","Health and Human Resources","200","Children's Services Act","1","2023","Total",388331762
"05","Health and Human Resources","200","Children's Services Act","1","2024","GF",367014332
"05","Health and Human Resources","200","Children's Services Act","1","2024","NGF",57632329
"05","Health and Human Resources","200","Children's Services Act","1","2024","Total",424646661
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2019","GF",5317714
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2019","NGF",20537354
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2019","Total",25855068
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2020","GF",5392714
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2020","NGF",18956381
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1283","2020","Total",24349095
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2021","GF",5642704
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2021","NGF",17403698
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2021","Total",23046402
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2022","GF",5642704
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2022","NGF",17403698
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2022","Total",23046402
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2023","GF",5912821
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2023","NGF",17857266
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2023","Total",23770087
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2024","GF",5912821
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2024","NGF",17857266
"05","Health and Human Resources","203","Wilson Workforce and Rehabilitation Center","1","2024","Total",23770087
"05","Health and Human Resources","223","Department of Health Professions","1283","2019","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1283","2019","NGF",33773207
"05","Health and Human Resources","223","Department of Health Professions","1283","2019","Total",33773207
"05","Health and Human Resources","223","Department of Health Professions","1283","2020","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1283","2020","NGF",34448922
"05","Health and Human Resources","223","Department of Health Professions","1283","2020","Total",34448922
"05","Health and Human Resources","223","Department of Health Professions","1","2021","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1","2021","NGF",35314989
"05","Health and Human Resources","223","Department of Health Professions","1","2021","Total",35314989
"05","Health and Human Resources","223","Department of Health Professions","1","2022","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1","2022","NGF",36158084
"05","Health and Human Resources","223","Department of Health Professions","1","2022","Total",36158084
"05","Health and Human Resources","223","Department of Health Professions","1","2023","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1","2023","NGF",37849871
"05","Health and Human Resources","223","Department of Health Professions","1","2023","Total",37849871
"05","Health and Human Resources","223","Department of Health Professions","1","2024","GF",0
"05","Health and Human Resources","223","Department of Health Professions","1","2024","NGF",38218945
"05","Health and Human Resources","223","Department of Health Professions","1","2024","Total",38218945
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2019","GF",60850766
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2019","NGF",174957497
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2019","Total",235808263
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2020","GF",60950766
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2020","NGF",172351232
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1283","2020","Total",233301998
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2021","GF",61703880
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2021","NGF",174528915
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2021","Total",236232795
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2022","GF",63528880
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2022","NGF",174528915
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2022","Total",238057795
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2023","GF",70667068
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2023","NGF",175679684
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2023","Total",246346752
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2024","GF",70154892
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2024","NGF",175679684
"05","Health and Human Resources","262","Department for Aging and Rehabilitative Services","1","2024","Total",245834576
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2019","GF",341944
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2019","NGF",2668620
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2019","Total",3010564
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2020","GF",341944
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2020","NGF",2718620
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1283","2020","Total",3060564
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2021","GF",354108
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2021","NGF",2718620
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2021","Total",3072728
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2022","GF",354108
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2022","NGF",2718620
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2022","Total",3072728
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2023","GF",361739
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2023","NGF",2784902
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2023","Total",3146641
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2024","GF",361739
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2024","NGF",2784902
"05","Health and Human Resources","263","Virginia Rehabilitation Center for the Blind and Vision Impaired","1","2024","Total",3146641
"05","Health and Human Resources","601","Department of Health","1283","2019","GF",182107747
"05","Health and Human Resources","601","Department of Health","1283","2019","NGF",548203813
"05","Health and Human Resources","601","Department of Health","1283","2019","Total",730311560
"05","Health and Human Resources","601","Department of Health","1283","2020","GF",180711343
"05","Health and Human Resources","601","Department of Health","1283","2020","NGF",549408884
"05","Health and Human Resources","601","Department of Health","1283","2020","Total",730120227
"05","Health and Human Resources","601","Department of Health","1","2021","GF",192953062
"05","Health and Human Resources","601","Department of Health","1","2021","NGF",604272099
"05","Health and Human Resources","601","Department of Health","1","2021","Total",797225161
"05","Health and Human Resources","601","Department of Health","1","2022","GF",211902238
"05","Health and Human Resources","601","Department of Health","1","2022","NGF",721576816
"05","Health and Human Resources","601","Department of Health","1","2022","Total",933479054
"05","Health and Human Resources","601","Department of Health","1","2023","GF",237622379
"05","Health and Human Resources","601","Department of Health","1","2023","NGF",989400303
"05","Health and Human Resources","601","Department of Health","1","2023","Total",1227022682
"05","Health and Human Resources","601","Department of Health","1","2024","GF",246225920
"05","Health and Human Resources","601","Department of Health","1","2024","NGF",820460040
"05","Health and Human Resources","601","Department of Health","1","2024","Total",1066685960
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2019","GF",5008158914
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2019","NGF",7594157772
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2019","Total",12602316686
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2020","GF",4899537379
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2020","NGF",10228886509
"05","Health and Human Resources","602","Department of Medical Assistance Services","1283","2020","Total",15128423888
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2021","GF",4545328030
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2021","NGF",12527356462
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2021","Total",17072684492
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2022","GF",4649993559
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2022","NGF",14472732262
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2022","Total",19122725821
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2023","GF",5824897704
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2023","NGF",14857958805
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2023","Total",20682856509
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2024","GF",5876121463
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2024","NGF",16797807713
"05","Health and Human Resources","602","Department of Medical Assistance Services","1","2024","Total",22673929176
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2019","GF",248542
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2019","NGF",1725350
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2019","Total",1973892
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2020","GF",254977
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2020","NGF",2220350
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1283","2020","Total",2475327
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2021","GF",237604
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2021","NGF",2055882
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2021","Total",2293486
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2022","GF",237604
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2022","NGF",1855882
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2022","Total",2093486
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2023","GF",234058
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2023","NGF",1900390
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2023","Total",2134448
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2024","GF",234058
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2024","NGF",1900390
"05","Health and Human Resources","606","Virginia Board for People with Disabilities","1","2024","Total",2134448
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2019","GF",6138137
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2019","NGF",66229439
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2019","Total",72367576
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2020","GF",6532746
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2020","NGF",66972548
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1283","2020","Total",73505294
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1","2021","GF",7347123
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1","2021","NGF",92972548
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1","2021","Total",100319671
"05","Health and Human Resources","702","Department for the Blind and Vision Impaired","1","2022","GF",7636061
